"","entidad","tipo_delito","total_delitos","total_delito_fuero_comun","total_delito_fuero_federal"
"397","Chiapas","70500",2,2,0
"398","Chiapas","70600",29,0,29
"399","Chiapas","70700",16,16,0
"400","Chiapas","70800",0,0,0
"401","Chiapas","70900",108,108,0
"402","Chiapas","80100",15,15,0
"403","Chiapas","80200",0,0,0
"404","Chiapas","80300",1,0,1
"405","Chiapas","80400",2,0,2
"406","Chiapas","80500",2,2,0
"407","Chiapas","90100",0,0,0
"408","Chiapas","90200",0,0,0
"409","Chiapas","90300",2,0,2
"410","Chiapas","90400",2,1,1
"411","Chiapas","90500",2,2,0
"412","Chiapas","90600",2,2,0
"413","Chiapas","90700",8,1,7
"414","Chiapas","90800",0,0,0
"415","Chiapas","90900",0,0,0
"416","Chiapas","91000",0,0,0
"417","Chiapas","91100",0,0,0
"418","Chiapas","91200",4,4,0
"419","Chiapas","91300",0,0,0
"420","Chiapas","91400",2,2,0
"421","Chiapas","91500",0,0,0
"422","Chiapas","91600",0,0,0
"423","Chiapas","91700",0,0,0
"424","Chiapas","91800",18,18,0
"425","Chiapas","100100",0,0,0
"426","Chiapas","999999",0,0,0
"427","Chihuahua","Total",10334,8525,1809
"428","Chihuahua","10100",1306,1299,7
"429","Chihuahua","10200",3,3,0
"430","Chihuahua","10300",1,1,0
"431","Chihuahua","10400",246,245,1
"432","Chihuahua","10500",0,0,0
"433","Chihuahua","20100",52,50,2
"434","Chihuahua","20200",1,1,0
"435","Chihuahua","20300",14,14,0
"436","Chihuahua","20400",1,1,0
"437","Chihuahua","20500",5,5,0
"438","Chihuahua","20600",367,367,0
"439","Chihuahua","20700",0,0,0
"440","Chihuahua","30100",345,345,0
"441","Chihuahua","30200",0,0,0
"442","Chihuahua","30300",1,1,0
"443","Chihuahua","30400",779,779,0
"444","Chihuahua","30500",0,0,0
"445","Chihuahua","30600",0,0,0
"446","Chihuahua","30700",1,1,0
"447","Chihuahua","40100",2349,2349,0
"448","Chihuahua","40200",0,0,0
"449","Chihuahua","40300",71,70,1
"450","Chihuahua","40400",29,29,0
"451","Chihuahua","40500",180,180,0
"452","Chihuahua","40600",188,188,0
"453","Chihuahua","40700",6,6,0
"454","Chihuahua","40800",2,2,0
"455","Chihuahua","50100",727,727,0
"456","Chihuahua","50200",176,176,0
"457","Chihuahua","50300",0,0,0
"458","Chihuahua","60100",1,1,0
"459","Chihuahua","60200",31,31,0
"460","Chihuahua","60300",38,38,0
"461","Chihuahua","60400",0,0,0
"462","Chihuahua","60500",1,1,0
"463","Chihuahua","60600",0,0,0
"464","Chihuahua","70100",1564,1564,0
"465","Chihuahua","70200",926,0,926
"466","Chihuahua","70300",1,0,1
"467","Chihuahua","70400",0,0,0
"468","Chihuahua","70500",1,0,1
"469","Chihuahua","70600",869,0,869
"470","Chihuahua","70700",2,2,0
"471","Chihuahua","70800",0,0,0
"472","Chihuahua","70900",0,0,0
"473","Chihuahua","80100",19,19,0
"474","Chihuahua","80200",0,0,0
"475","Chihuahua","80300",0,0,0
"476","Chihuahua","80400",0,0,0
"477","Chihuahua","80500",0,0,0
"478","Chihuahua","90100",11,11,0
"479","Chihuahua","90200",0,0,0
"480","Chihuahua","90300",0,0,0
"481","Chihuahua","90400",0,0,0
"482","Chihuahua","90500",0,0,0
"483","Chihuahua","90600",0,0,0
"484","Chihuahua","90700",1,0,1
"485","Chihuahua","90800",0,0,0
"486","Chihuahua","90900",0,0,0
"487","Chihuahua","91000",0,0,0
"488","Chihuahua","91100",0,0,0
"489","Chihuahua","91200",11,11,0
"490","Chihuahua","91300",0,0,0
"491","Chihuahua","91400",1,1,0
"492","Chihuahua","91500",0,0,0
"493","Chihuahua","91600",0,0,0
"494","Chihuahua","91700",0,0,0
"495","Chihuahua","91800",7,7,0
"496","Chihuahua","100100",0,0,0
"497","Chihuahua","999999",0,0,0
"498","Ciudad de México","Total",9579,9396,183
"499","Ciudad de México","10100",588,580,8
"500","Ciudad de México","10200",94,94,0
"501","Ciudad de México","10300",0,0,0
"502","Ciudad de México","10400",147,145,2
"503","Ciudad de México","10500",0,0,0
"504","Ciudad de México","20100",92,89,3
"505","Ciudad de México","20200",0,0,0
"506","Ciudad de México","20300",30,30,0
"507","Ciudad de México","20400",0,0,0
"508","Ciudad de México","20500",5,5,0
"509","Ciudad de México","20600",233,232,1
"510","Ciudad de México","20700",0,0,0
"511","Ciudad de México","30100",244,244,0
"512","Ciudad de México","30200",0,0,0
"513","Ciudad de México","30300",3,3,0
"514","Ciudad de México","30400",173,173,0
"515","Ciudad de México","30500",0,0,0
"516","Ciudad de México","30600",0,0,0
"517","Ciudad de México","30700",0,0,0
"518","Ciudad de México","40100",4687,4685,2
"519","Ciudad de México","40200",0,0,0
"520","Ciudad de México","40300",38,37,1
"521","Ciudad de México","40400",1,1,0
"522","Ciudad de México","40500",238,238,0
"523","Ciudad de México","40600",19,19,0
"524","Ciudad de México","40700",43,43,0
"525","Ciudad de México","40800",0,0,0
"526","Ciudad de México","50100",460,460,0
"527","Ciudad de México","50200",6,6,0
"528","Ciudad de México","50300",0,0,0
"529","Ciudad de México","60100",29,29,0
"530","Ciudad de México","60200",14,14,0
"531","Ciudad de México","60300",0,0,0
"532","Ciudad de México","60400",0,0,0
"533","Ciudad de México","60500",0,0,0
"534","Ciudad de México","60600",0,0,0
"535","Ciudad de México","70100",1481,1381,100
"536","Ciudad de México","70200",0,0,0
"537","Ciudad de México","70300",11,11,0
"538","Ciudad de México","70400",30,27,3
"539","Ciudad de México","70500",8,7,1
"540","Ciudad de México","70600",340,290,50
"541","Ciudad de México","70700",17,16,1
"542","Ciudad de México","70800",0,0,0
"543","Ciudad de México","70900",0,0,0
"544","Ciudad de México","80100",237,234,3
"545","Ciudad de México","80200",0,0,0
"546","Ciudad de México","80300",1,1,0
"547","Ciudad de México","80400",0,0,0
"548","Ciudad de México","80500",0,0,0
"549","Ciudad de México","90100",1,1,0
"550","Ciudad de México","90200",0,0,0
"551","Ciudad de México","90300",64,59,5
"552","Ciudad de México","90400",10,8,2
"553","Ciudad de México","90500",21,21,0
"554","Ciudad de México","90600",0,0,0
"555","Ciudad de México","90700",0,0,0
"556","Ciudad de México","90800",0,0,0
"557","Ciudad de México","90900",0,0,0
"558","Ciudad de México","91000",0,0,0
"559","Ciudad de México","91100",0,0,0
"560","Ciudad de México","91200",74,74,0
"561","Ciudad de México","91300",9,9,0
"562","Ciudad de México","91400",2,2,0
"563","Ciudad de México","91500",0,0,0
"564","Ciudad de México","91600",0,0,0
"565","Ciudad de México","91700",0,0,0
"566","Ciudad de México","91800",129,128,1
"567","Ciudad de México","100100",0,0,0
"568","Ciudad de México","999999",0,0,0
"569","Coahuila","Total",6300,6283,17
"570","Coahuila","10100",194,194,0
"571","Coahuila","10200",62,62,0
"572","Coahuila","10300",0,0,0
"573","Coahuila","10400",89,88,1
"574","Coahuila","10500",2,2,0
"575","Coahuila","20100",20,20,0
"576","Coahuila","20200",1,1,0
"577","Coahuila","20300",1,1,0
"578","Coahuila","20400",0,0,0
"579","Coahuila","20500",8,8,0
"580","Coahuila","20600",77,77,0
"581","Coahuila","20700",0,0,0
"582","Coahuila","30100",89,89,0
"583","Coahuila","30200",3,3,0
"584","Coahuila","30300",0,0,0
"585","Coahuila","30400",119,119,0
"586","Coahuila","30500",3,3,0
"587","Coahuila","30600",0,0,0
"588","Coahuila","30700",0,0,0
"589","Coahuila","40100",923,923,0
"590","Coahuila","40200",0,0,0
"591","Coahuila","40300",28,28,0
"592","Coahuila","40400",9,9,0
"593","Coahuila","40500",8,8,0
"594","Coahuila","40600",30,30,0
"595","Coahuila","40700",10,10,0
"596","Coahuila","40800",0,0,0
"597","Coahuila","50100",513,513,0
"598","Coahuila","50200",1,1,0
"599","Coahuila","50300",0,0,0
"600","Coahuila","60100",2,2,0
"601","Coahuila","60200",3,3,0
"602","Coahuila","60300",0,0,0
"603","Coahuila","60400",0,0,0
"604","Coahuila","60500",0,0,0
"605","Coahuila","60600",0,0,0
"606","Coahuila","70100",4056,4048,8
"607","Coahuila","70200",3,0,3
"608","Coahuila","70300",1,1,0
"609","Coahuila","70400",0,0,0
"610","Coahuila","70500",0,0,0
"611","Coahuila","70600",1,0,1
"612","Coahuila","70700",18,17,1
"613","Coahuila","70800",0,0,0
"614","Coahuila","70900",1,1,0
"615","Coahuila","80100",2,2,0
"616","Coahuila","80200",0,0,0
"617","Coahuila","80300",3,2,1
"618","Coahuila","80400",0,0,0
"619","Coahuila","80500",0,0,0
"620","Coahuila","90100",15,15,0
"621","Coahuila","90200",1,1,0
"622","Coahuila","90300",1,1,0
"623","Coahuila","90400",1,1,0
"624","Coahuila","90500",0,0,0
"625","Coahuila","90600",0,0,0
"626","Coahuila","90700",1,0,1
"627","Coahuila","90800",0,0,0
"628","Coahuila","90900",0,0,0
"629","Coahuila","91000",0,0,0
"630","Coahuila","91100",0,0,0
"631","Coahuila","91200",0,0,0
"632","Coahuila","91300",0,0,0
"633","Coahuila","91400",0,0,0
"634","Coahuila","91500",0,0,0
"635","Coahuila","91600",0,0,0
"636","Coahuila","91700",0,0,0
"637","Coahuila","91800",1,0,1
"638","Coahuila","100100",0,0,0
"639","Coahuila","999999",0,0,0
"640","Colima","Total",1537,1176,361
"641","Colima","10100",67,67,0
"642","Colima","10200",7,7,0
"643","Colima","10300",0,0,0
"644","Colima","10400",26,26,0
"645","Colima","10500",22,22,0
"646","Colima","20100",4,4,0
"647","Colima","20200",0,0,0
"648","Colima","20300",0,0,0
"649","Colima","20400",0,0,0
"650","Colima","20500",0,0,0
"651","Colima","20600",19,18,1
"652","Colima","20700",3,3,0
"653","Colima","30100",13,13,0
"654","Colima","30200",0,0,0
"655","Colima","30300",0,0,0
"656","Colima","30400",24,24,0
"657","Colima","30500",0,0,0
"658","Colima","30600",0,0,0
"659","Colima","30700",8,8,0
"660","Colima","40100",371,366,5
"661","Colima","40200",0,0,0
"662","Colima","40300",26,26,0
"663","Colima","40400",5,5,0
"664","Colima","40500",2,2,0
"665","Colima","40600",5,5,0
"666","Colima","40700",12,12,0
"667","Colima","40800",3,3,0
"668","Colima","50100",140,139,1
"669","Colima","50200",73,73,0
"670","Colima","50300",2,2,0
"671","Colima","60100",4,4,0
"672","Colima","60200",0,0,0
"673","Colima","60300",0,0,0
"674","Colima","60400",0,0,0
"675","Colima","60500",0,0,0
"676","Colima","60600",0,0,0
"677","Colima","70100",454,209,245
"678","Colima","70200",0,0,0
"679","Colima","70300",0,0,0
"680","Colima","70400",0,0,0
"681","Colima","70500",14,7,7
"682","Colima","70600",162,69,93
"683","Colima","70700",4,4,0
"684","Colima","70800",0,0,0
"685","Colima","70900",3,3,0
"686","Colima","80100",6,6,0
"687","Colima","80200",0,0,0
"688","Colima","80300",1,0,1
"689","Colima","80400",0,0,0
"690","Colima","80500",0,0,0
"691","Colima","90100",18,18,0
